455049 -0.34 0.727 0.0613 0.0088 0.258 0.0629 0.0227 0.573 
455050 -0.37 0.674 0.0604 0.0086 0.254 0.0638 0.0227 0.574 
455051 -0.34 0.676 0.0600 0.0082 0.245 0.0644 0.0219 0.555 
455052 -0.36 0.699 0.0599 0.0085 0.250 0.0649 0.0211 0.539 
455053 -0.23 0.943 0.0611 0.0089 0.260 0.0635 0.0267 0.663 
455056 -0.35 0.713 0.0614 0.0090 0.264 0.0656 0.0217 0.552 
455060 -0.35 0.714 0.0610 0.0088 0.258 0.0642 0.0215 0.547 
455071 -0.34 0.770 0.0611 0.0090 0.262 0.0652 0.0220 0.560 
455073 -0.35 0.966 0.0629 0.0097 0.282 0.0594 0.0300 0.734 
455074 -0.33 0.754 0.0618 0.0090 0.263 0.0650 0.0231 0.584 
455077 -0.32 0.780 0.0608 0.0089 0.261 0.0650 0.0217 0.552 
455078 -0.35 0.692 0.0602 0.0086 0.253 0.0656 0.0218 0.554 
455080 -0.25 0.825 0.0605 0.0088 0.258 0.0651 0.0234 0.591 
455081 -0.33 0.715 0.0601 0.0084 0.249 0.0628 0.0214 0.544 
455082 -0.31 0.725 0.0600 0.0083 0.246 0.0651 0.0206 0.528 
455083 -0.29 1.000 0.0617 0.0100 0.287 0.0100 0.0550 1.000 
455200 -0.34 0.730 0.0605 0.0088 0.259 0.0674 0.0238 0.603 
455201 -0.35 0.695 0.0605 0.0086 0.253 0.0647 0.0220 0.559 
455202 -0.35 0.693 0.0600 0.0084 0.248 0.0646 0.0213 0.543 
455203 -0.32 0.721 0.0602 0.0084 0.248 0.0654 0.0216 0.550 
455206 -0.35 0.679 0.0614 0.0090 0.264 0.0665 0.0245 0.616 
455207 -0.35 0.698 0.0608 0.0087 0.256 0.0644 0.0235 0.592 
455208 -0.33 0.722 0.0608 0.0089 0.262 0.0637 0.0227 0.573 
455209 -0.34 0.677 0.0609 0.0088 0.258 0.0655 0.0230 0.583 
455211 -0.33 0.735 0.0609 0.0087 0.257 0.0639 0.0226 0.571 
455212 -0.25 0.947 0.0618 0.0097 0.280 0.0243 0.0390 0.900 
455213 -0.35 0.859 0.0612 0.0088 0.259 0.0618 0.0297 0.729 
455218 -0.34 0.749 0.0631 0.0093 0.271 0.0646 0.0223 0.566 
455220 -0.34 0.711 0.0612 0.0087 0.256 0.0657 0.0222 0.564 
455221 -0.34 0.732 0.0612 0.0087 0.256 0.0663 0.0217 0.554 
455222 -0.34 0.788 0.0616 0.0090 0.264 0.0617 0.0225 0.567 
455223 -0.34 0.751 0.0607 0.0086 0.254 0.0652 0.0211 0.539 
455224 0.00 0.200 0.0600 0.0100 0.285 0.0600 0.0100 0.285 
455302 -0.34 0.713 0.0617 0.0090 0.265 0.0676 0.0225 0.573 
455303 -0.35 0.679 0.0610 0.0088 0.258 0.0651 0.0234 0.590 
